,csv.pbm_036.ID,csv.pbm_036.count,csv.pbm_036.mediansTime,csv.pbm_036.mediansEvent_length,csv.pbm_036.mediansRh103Di,csv.pbm_036.mediansIn113Di,csv.pbm_036.mediansIn115Di,csv.pbm_036.mediansXe131Di,csv.pbm_036.mediansCs133Di,csv.pbm_036.mediansBa138Di,csv.pbm_036.mediansLa139Di,csv.pbm_036.mediansCe140Di,csv.pbm_036.mediansPr141Di,csv.pbm_036.mediansNd142Di,csv.pbm_036.mediansNd143Di,csv.pbm_036.mediansNd144Di,csv.pbm_036.mediansNd145Di,csv.pbm_036.mediansNd146Di,csv.pbm_036.mediansSm147Di,csv.pbm_036.mediansNd148Di,csv.pbm_036.mediansSm149Di,csv.pbm_036.mediansNd150Di,csv.pbm_036.mediansEu151Di,csv.pbm_036.mediansSm152Di,csv.pbm_036.mediansEu153Di,csv.pbm_036.mediansSm154Di,csv.pbm_036.mediansGd155Di,csv.pbm_036.mediansGd156Di,csv.pbm_036.mediansGd158Di,csv.pbm_036.mediansTb159Di,csv.pbm_036.mediansGd160Di,csv.pbm_036.mediansDy161Di,csv.pbm_036.mediansDy162Di,csv.pbm_036.mediansDy163Di,csv.pbm_036.mediansDy164Di,csv.pbm_036.mediansHo165Di,csv.pbm_036.mediansEr166Di,csv.pbm_036.mediansEr167Di,csv.pbm_036.mediansEr168Di,csv.pbm_036.mediansTm169Di,csv.pbm_036.mediansEr170Di,csv.pbm_036.mediansYb171Di,csv.pbm_036.mediansYb172Di,csv.pbm_036.mediansYb173Di,csv.pbm_036.mediansYb174Di,csv.pbm_036.mediansLu175Di,csv.pbm_036.mediansYb176Di,csv.pbm_036.mediansBCKG190Di,csv.pbm_036.mediansIr191Di,csv.pbm_036.mediansIr193Di,csv.pbm_036.mediansdensity,csv.pbm_036.percenttotal
1,1,8,13.9134730555744,2.22993154403679,0,0.00932427690166,0,0,0,0.260164479023765,0.170293309646636,0,0.614157237550806,0,0,0.720765329572246,0.070483208868853,1.75095668426694,0.017121530102688,0,0,0.592759250229317,0,0.876150615695066,0,1.87735039462954,0.035693490370462,0,0,0.412200379308384,0.41624827002809,0,1.45844500495279,0.239505573734086,0.752711641219544,1.1868824243426,0.190058035354506,0,0,0,0.419386174450412,0.098397193866226,0,0,0.8070753789625,0.011381464271645,0.396378955122773,0,4.08932229763797,4.74201153473484,11.9443038654549,0.002058963569213
2,2,631,12.8105893436092,2.38801132228465,0,0.231546807060823,0,0,0,0.60584292215726,0.220845735222567,0,0.740971565852941,0,0,1.67992628265074,0.343919123103009,2.97622744403211,0,0.048209241878925,0,1.62238814357244,0,0.99861310291037,0,3.44278429277152,0.261831872246981,0,0,1.73705453667064,0.571652809061993,0.071332509713293,2.97547806313659,0.53186728176614,1.5741239633266,2.05051793112827,0.618726924101275,0,0.02550190825446,0,0.859530334470827,2.50742670523356,0.469271647245201,0.087246999611286,1.65333097721738,0.566630855514856,0.105983943995602,0,3.95797439632605,4.55060534803942,11.9333080850335,0.162400751521703
3,3,13,12.8034838181414,2.52413757020033,0,0.298217957186525,0,0,0,1.0716123945251,0.148061456803132,0,0.918603984715966,0,0,1.69700124777055,0.467823454451734,3.07761877221233,0,0.034611416149268,0,1.61518984618334,0,0.928936096959456,0.032763272801603,3.48666274143997,0.380361061664279,0,0,1.89067454271268,0.457950134102219,0.160758570334947,2.99268274316957,1.14717736238719,1.85634383846204,1.9160101359845,0.481153948787148,0,0,0,0.647050928690132,2.51043440321174,0.357378737960811,0,2.06668308910744,0.602756921327332,0.628034000142391,0,3.82340601685851,4.40109876570613,11.9291854317495,0.003345815799972
4,4,3322,13.6230613171534,2.35092571975091,0,0.258396332766344,0,0,0,0.284408998417633,0.19702180743505,0,0.654157499595467,0,0,1.17978725111888,0.231355473956765,2.82260670490099,0,0.024927453588297,0,1.36512942801478,0,0.904643912414731,0,3.18609691358103,0.160331828807715,0,0,1.76732609734716,0.468796772072752,0.004276961627793,2.74910208669221,0.285898024454534,1.47489248710058,3.21977889921949,0.783892837487692,0,0.009826886439761,0,0.856626196589992,2.72866864557054,0.481550019791545,0.075090056746077,3.17753130050622,0.763454233219897,0.162252836008799,0,3.75591487942742,4.36408827039049,11.9232573773423,0.854984622115842
5,5,1157,13.740675798689,2.31243834127275,0,0.268318386767598,0,0,0,0.186066339800994,0.214242052142773,0,0.15039168198857,0,0,1.3341840357676,0.210078714467969,2.78519244665389,0,0,0,1.06955982351787,0,0.908774335357776,0,3.11119292828866,0.240277118486651,0,0,1.40927407909194,0.787048137495658,0,2.698353823808,0.317068554466405,0.736628993051826,1.88897144430293,0.527213059888725,0,0,0,0.868853069859999,2.34244654641856,0.494996796670858,0.073804430088434,1.46262722140525,0.413012406017432,0.08961498197239,0,3.57589376728341,4.20548061404585,11.9458215467966,0.29777760619748
6,6,1071,13.6899389449323,2.35092571975091,0,0.060942762048963,0,0,0,0.404287758283363,0.151918962648777,0,0.127614428833612,0,0,0,0.046949794131407,0.635390195463119,1.06329200456237,0.28346840995376,0,1.11599997540288,0,1.98989895018697,0,4.08238413222518,0.138968463271491,0,0,2.66241326962362,0.282662765962657,0,1.94118497197649,0.122709496537903,1.35930772454587,1.71852891782056,0.253014432359562,0.205749556572052,0,0,1.11771574812139,0.407695204888959,0.679634715551252,0.438033895454208,2.29297261942072,0.447217620697502,5.08058587367006,0,3.68167692831295,4.30231357796282,11.930282252661,0.275643747828437
7,7,345,13.6547256535887,2.31243834127275,0,0,0,0,0,0.209529816738672,0.254111926647006,0,0.429138216462602,0,0,1.28062154503031,0.465668429206147,0.513566619887893,0.424524726008698,0,0,0.475831056737873,0,2.25801419147211,0,2.46650637514235,0.206289402336284,0,0,0.241876806810897,0.521715351526365,0,1.51923472015076,0.10132100699208,1.30995606411493,1.51453434128244,0.689606898330941,0,0,0,0.87050970594759,0.158615038402385,0.228982218007413,0.043977004798,1.25607348327781,0.979870215772043,0.14064409343485,0,4.00093883002863,4.5875777735467,11.9468873229107,0.088792803922326
8,8,4,13.426900050295,2.36811519243013,0,0.030292382065726,0,0,0,0.74626592525479,0.230913084148359,0,0.033356038213991,0.051283517370746,2.72238689709646,0.110768303134872,0,0.075980404950175,1.62368613456758,0.001036708711098,0.1321579747874,0.188798525547272,0.097597430925796,0.692653604647042,0.519468546967134,2.98368682186662,0.473747439614354,0,0,0.357624845383426,0,0,0.755641496633959,0,0,0.343010840145997,0.175235900355161,0,0,0,0.498924450902262,0.11812421023497,0.071475052291912,0,0.51671633972949,0.06748444979907,0,0,3.83471755724377,4.41052344441823,11.8761856085031,0.001029481784607
9,9,32,13.6644119247376,2.33168203051183,0,0,0,0,0,0.671585316802443,0.153993260535488,0,0.102229829386027,0,3.13135064165101,0.129523202343921,0.074407562157459,0.151638459706844,0,0,1.02997923611163,0.280779382826848,1.53044254212921,0.843918163151033,0.237742283727279,4.69658518295359,0.13693192634543,0,0,0.448838149745241,0.801957614119527,0,0.476578666700679,0.108063166228925,0.315031012116932,1.74850454756717,0,0,0,0,0.866829334852887,0.047830170193524,0.035178104628872,0,1.69369975564075,0.158920197333413,2.35560081690235,0,3.69471372184534,4.30439919178923,11.8909329927521,0.008235854276853
10,10,159,13.7073698478127,2.42379204358752,0,0.010888216826086,0,0,0,0.684358557617135,1.27523406051801,0,0.111685568103075,0.048899656971571,3.68821634932593,0.458131390784178,0.094548147630479,0.093421800006013,3.31017946209324,0.398718594534442,0.114365576743098,0.169227955186678,2.13762450054393,1.7489609621085,1.54036137120869,4.8891837938909,1.58624483930574,0,0,0.623184677123505,1.27182514548901,0,0.681872443830048,0.117061165793443,0.726945281983674,1.75620556846625,0.060994254137222,0,0,0,1.00487427769016,0,0.009568173474732,0,1.40043334651965,0.14891862899376,0.045641810281135,0,3.71223196201762,4.36362953058825,11.7111367750527,0.040921900938115
