,edges.from,edges.to,edges.weight
404,217,606,6.747447814762549
405,218,378,12.4883356197341
406,218,473,5.73615214168203
407,219,345,5.24345619629485
408,219,525,4.3379048879927495
409,220,251,4.72082617067693
410,220,260,4.6369728234067304
411,220,473,4.851318496509331
412,220,530,4.75728719596716
413,220,703,6.00383709421785
414,221,226,8.90246273426326
415,221,266,5.670362271576541
416,221,276,4.683154433254309
417,223,500,5.4906976038534605
418,224,492,7.56172278588346
419,225,230,5.970969888785599
420,226,391,14.8530071625234
421,228,268,5.91916637131126
422,228,453,9.353639630427509
423,228,684,9.92303758560781
424,230,297,6.99190327352831
425,232,399,9.28342575650489
426,232,462,9.77229522728709
427,232,791,9.64337754824158
428,233,669,10.8441652649681
429,234,750,11.9641992287138
430,235,344,8.761127403138799
431,237,414,7.546932130319309
432,237,518,7.2034120240171
433,238,258,11.382602431638501
434,239,443,5.82581454307093
435,239,457,5.68866977298069
436,240,757,14.3721556391963
437,243,268,5.7067619719264195
438,243,486,4.22538522403326
439,243,490,6.58921036610971
440,245,402,6.89091288653121
441,245,418,10.708636005772
442,246,263,7.033053146723519
443,246,337,12.048110416751802
444,246,485,8.176117758947349
445,246,621,8.24215349311151
446,246,731,10.2823895356833
447,246,788,13.216485201403902
448,246,799,21.1523366409851
449,247,318,4.617275310608781
450,247,676,3.82393963694852
451,248,420,6.9801206728043494
452,248,520,7.2748882395717
453,248,588,7.11642766612854
454,250,319,6.63400441648781
455,250,420,7.607722035312519
456,250,500,8.02867354903519
457,250,720,7.9956699614467
458,251,479,6.19636312707391
459,252,287,7.74348673892084
460,252,750,12.7470598344724
461,254,320,8.61865374510443
462,254,559,7.08204902327734
463,254,691,7.096040552718719
464,254,707,9.878006625849071
465,254,745,7.7649494036184405
466,254,762,8.17787317426545
467,255,666,7.68463572688598
468,256,369,7.32268793446793
469,257,321,5.227479247540249
470,257,328,5.91773229112707
471,257,333,5.30171697602482
472,257,651,6.0195266390747095
473,258,608,9.505300040535461
474,259,377,8.53378725281589
475,259,528,7.75651386473733
476,259,615,6.98064363215184
477,259,638,9.72955965059114
478,259,789,7.791492383941099
479,260,646,5.259723367443611
480,260,671,7.02946511091702
481,260,754,6.4323607841402195
482,261,283,8.49763315304739
483,263,561,6.48231534273411
484,263,624,10.8758786001085
485,263,746,13.0640016484274
486,265,447,10.677293581909
487,266,492,5.47732356796354
488,267,324,7.6390751585829495
489,268,474,5.9667387933445
490,271,420,8.77576809372495
491,273,355,6.734543826800821
492,273,622,7.834491419642861
493,274,295,5.07652831045443
494,274,595,6.08766916204444
495,275,331,8.37854504760158
496,275,395,6.645039309856419
497,275,414,6.50621172367723
498,275,679,6.464760621467089
499,275,734,6.474763262683929
500,278,616,7.020165035367709
501,279,602,7.250988144173089
502,280,287,6.72397425437968
503,280,752,9.5785975913803
504,281,301,7.0169423014392995
505,281,407,6.814638377533151
506,282,424,6.72042692200354
507,282,603,8.54787646749809
508,283,471,8.719205434690911
509,283,565,9.29180600236527
510,285,305,8.65189372326329
511,290,468,6.280661938201151
512,291,357,6.511791326071019
513,291,520,6.234897923158011
514,291,623,8.35227415747709
515,292,309,6.685719173469139
516,292,726,6.181776123712719
517,293,416,11.15037216608
518,293,587,9.12655921110801
519,295,360,8.285489758517231
520,295,429,5.59125195572664
521,297,547,6.88613157559633
522,297,634,14.3061715427059
523,299,383,5.61035416704697
524,299,551,7.13095856295854
525,300,388,5.69098886325918
526,300,456,5.76635027911045
527,300,524,10.1203277590916
528,302,306,8.16764637230311
529,303,380,9.463841173660152
530,304,461,9.11771955986166
531,304,787,9.36822437145424
532,307,430,6.20945158404125
533,308,358,4.62280846292595
534,308,706,5.502042183992339
535,309,710,9.64448052027666
536,310,388,8.1750427000941
537,310,721,10.4520364699492
538,311,636,7.95104990848372
539,313,470,8.26350042092005
540,313,682,10.1321878364366
541,315,554,10.006607294359801
542,315,738,13.8531521734635
543,317,444,5.80373872676659
544,319,736,10.126462714518501
545,319,773,11.5752143611559
546,320,504,8.42209834165048
547,320,740,8.827548220842289
548,321,677,6.85091135792864
549,323,427,8.094379001638089
550,323,550,7.1781453035712195
551,323,608,7.3333537355599905
552,324,458,7.636540280536059
553,325,482,11.464970091593099
554,328,410,5.7815538809656
555,329,411,5.6326562961540905
556,332,503,9.56172766461995
557,333,381,4.92773788665468
558,333,570,5.566810311853111
559,333,667,6.454608142073281
560,334,613,12.2094615008477
561,335,361,7.1765147098923805
562,335,384,7.930074539934179
563,335,488,7.70383526710759
564,335,498,8.90523645415037
565,336,502,12.585350130934
566,338,368,10.1236040957459
567,339,586,8.18955645055545
568,340,431,5.1899109054687695
569,340,557,5.59301904866092
570,340,716,5.74338174608101
571,340,767,7.566502164804731
572,346,713,10.392938663392801
573,346,755,10.3999988357777
574,347,723,9.84997726605064
575,349,422,4.21791655749797
576,349,530,4.93671075014175
577,350,519,6.265572383009549
578,351,474,7.131882278066911
579,352,482,9.06689166882014
580,353,449,11.3498949595823
581,353,601,8.02027431326519
582,353,659,8.92473594778834
583,355,771,17.037896298522
584,361,727,8.55706804888218
585,362,464,6.6743923300302805
586,362,522,5.28520357233482
587,362,568,8.59766752793366
588,363,550,7.127780681374249
589,363,669,9.32386637019225
590,363,800,18.9869349479057
591,364,592,9.27164537112116
592,364,609,5.9198705297445295
593,364,786,8.33381646015272
594,365,572,13.607695210698099
595,365,662,9.88214534216659
596,366,689,7.531550053220889
597,370,437,8.69609135436718
598,371,570,5.603114168203139
599,373,488,7.70422062440434
600,373,641,7.55634319497565
601,374,405,8.850773178156288
602,377,631,11.397249320238302
603,377,701,17.4145655546761
604,379,445,5.59104116183607
605,379,688,7.3630223579322
606,380,691,7.836179510990701
607,380,742,9.674616227436392
608,380,768,10.3156611415901
609,381,412,6.115104505232541
610,381,506,6.51974114841132
611,383,467,7.3742481694157505
612,383,728,7.801889477463419
613,384,442,8.63521764978565
614,385,658,8.5213755440688
615,386,504,8.79488989576569
616,387,687,4.18143036434011
617,387,744,4.52584986975476
618,388,700,8.071375899194889
619,388,783,9.05315133931854
620,389,664,6.75182078702105
621,390,425,8.0357675292241
622,392,586,6.7158767530115195
623,393,483,6.94460624681689
624,394,455,6.14333456737872
625,394,507,8.073447015907941
626,394,663,7.06734625425478
627,396,438,6.74396185022923
628,396,500,6.29904236131615
629,396,508,6.4535340293069
630,397,510,8.64241329733819
631,397,586,6.425722184943269
632,399,494,9.21789451806178
633,400,642,8.30464862599778
634,400,761,18.866338324225303
635,401,693,8.68683501214718
636,403,506,7.782816541428959
637,403,639,8.41676349649722
638,404,719,16.890696865165502
639,406,513,9.262672559117698
640,406,610,11.302217438486199
641,406,669,9.48753142776489
642,407,435,7.797751773586791
643,407,573,6.38438346826769
644,408,470,9.02951262190625
645,409,537,4.9024499021958095
646,412,414,5.7811626999379895
647,412,672,8.04247424782225
648,413,417,9.459064142045369
649,415,460,10.299828118870801
650,417,648,5.644462755391969
651,419,531,7.448542613763079
652,422,777,6.9843380409980895
653,423,567,11.7663876406308
654,424,496,6.38062461682232
655,425,455,7.39697748141438
656,426,702,11.4362038343133
657,427,444,10.2578275285294
658,428,530,6.27458264763984
659,430,635,6.06431496964141
660,432,543,4.27631340135956
661,432,640,4.5814820827063
662,433,694,7.48123512389987
663,434,502,9.9787162696722
664,436,699,6.51695001417331
665,439,483,5.22195190440396
666,439,725,6.7458290205011
667,440,502,9.574998869837971
668,441,547,6.75803996115723
669,443,692,7.7602404181608495
670,444,578,10.149252985749301
671,446,535,11.0110655441365
672,446,613,9.678644532715241
673,446,708,15.665401555391
674,447,587,7.50941011597411
675,448,454,14.104717258257
676,450,794,10.155167176909801
677,452,522,7.55574745163755
678,453,459,12.363743744495899
679,454,489,10.2996238619001
680,455,571,7.31992699745677
681,457,516,6.40906807057305
682,457,546,5.648423569323009
683,457,647,6.22029491638907
684,460,618,9.06474971877868
685,461,775,13.0085445373444
686,463,505,8.00598676210744
687,463,609,6.56637474329543
688,469,481,8.72730521081635
