,layout.V1,layout.V2
0,47.765314356340895,-57.0268622536742
1,116.663619572561,305.789536220963
2,-121.73282581680901,-101.738984252276
3,-141.189142719946,172.94976963964
4,-35.861624178888896,187.413701843553
5,423.828871940965,-307.309022024971
6,37.2803993550329,-22.284145673938397
7,-248.30362485853698,-337.71341722550204
8,-165.10142737869,-366.646407928573
9,-412.056627779898,-626.273221916782
10,-420.473750953912,-379.733032822868
11,42.4042265486269,-57.5616179351477
12,440.726053404076,-167.553718427341
13,163.860689659607,-256.109058625154
14,142.460899313081,-79.3820572233498
15,97.40409214219879,-124.903060927099
16,228.668295168121,383.684860206
17,-3.6454903723374397,81.6751148534468
18,-454.453221354161,-337.34838080852296
19,134.404685402691,-88.20360078836109
20,80.1536795362825,180.498100582834
21,21.3460855494083,41.7669193765062
22,-73.7128743472379,254.80540872837398
23,124.912030142004,123.776461475017
24,86.57215328093359,32.5323780963
25,226.463487575957,-141.398106765298
26,233.713924829164,-128.739060106523
27,62.2030753432411,82.4236637365226
28,-17.033219292191202,214.18520051678902
29,-82.0611522249385,-430.01640060405504
30,-30.414667106788897,69.6790385035755
31,-370.555516162223,-574.292408759122
32,25.4931398742805,-238.614516862288
33,48.3412398868327,273.68428477014703
34,-184.714057417107,272.31130585348
35,-11.396817907669302,126.103566897638
36,208.480168437831,-142.950027320702
37,-315.311501799861,217.492059741708
38,278.365590412992,-66.4809863554659
39,29.4270782670232,57.623885621647204
40,-369.126291540378,-520.961634147931
41,-139.850027335121,95.4051013453306
42,-139.609788627551,219.662670542142
43,-512.204928471656,-353.72507318028295
44,79.0414696253044,-340.131346418522
45,496.79727496061093,232.767165907852
46,79.9457693306796,69.6021877594496
47,61.1864597183505,48.935135595156794
48,98.5498165928828,-191.979522946125
49,-47.1840479721821,106.324960703808
50,201.715219133708,569.5179497438099
51,-57.4583370535743,67.2127922789095
52,-133.658040276783,-495.06744742331705
53,-119.105075218062,160.341182983276
54,172.531431211398,221.35424136021498
55,-341.46393864891496,-472.111195907499
56,66.7040265661721,336.821642320745
57,198.85140345965598,-244.380068836772
58,44.7213054949298,-127.188179231715
59,-31.6854362620875,225.67749879349603
60,-184.889857511547,348.42262902518206
61,-229.159850333512,206.763492824814
62,153.264653192324,83.77808223563541
63,-199.110109629791,-305.639603864379
